predictor,decile,n,weight,predicted,observed
bucket,0,17833.0,17833.0,0.7144918555066258,0.4339146526103292
bucket,1,17832.0,17832.0,0.7333465685349337,0.6679564827276806
bucket,2,17832.0,17832.0,0.7333465685349337,0.6368887393449978
bucket,3,17833.0,17833.0,0.7644785798176791,0.45174676162171257
dept,0,7133.0,7133.0,0.4781020101434233,0.2885181550539745
dept,1,7133.0,7133.0,0.6508059121909481,0.41553343614187577
dept,2,7133.0,7133.0,0.7078519865139548,0.5644188980793495
dept,3,7133.0,7133.0,0.7334262935806429,0.5363802046824618
dept,4,7133.0,7133.0,0.7349819333527551,0.6075984859105565
dept,5,7133.0,7133.0,0.7508372207735938,0.6577877470909855
dept,6,7133.0,7133.0,0.7771270070915847,0.5390438805551662
dept,7,7133.0,7133.0,0.7917662618609553,0.5062386092808075
dept,8,7133.0,7133.0,0.8536842356051364,0.6437684003925417
dept,9,7133.0,7133.0,0.9204118198148715,0.7169493901584186
course,0,7133.0,7133.0,0.27583981052108236,0.21225290901443994
course,1,7133.0,7133.0,0.5276186202688845,0.3562315996074583
course,2,7133.0,7133.0,0.6576645053982112,0.48997616711061265
course,3,7133.0,7133.0,0.7170611885759061,0.5724099256974625
course,4,7133.0,7133.0,0.7349819333527551,0.550820131781859
course,5,7133.0,7133.0,0.7589474560883467,0.60675732510865
course,6,7133.0,7133.0,0.801372140199467,0.5142296368989205
course,7,7133.0,7133.0,0.8716712545846562,0.6670405159119585
course,8,7133.0,7133.0,0.9369960742126927,0.7395205383429132
course,9,7133.0,7133.0,0.9945138811286716,0.7669984578718632
site,0,7133.0,7133.0,0.08956399831767838,0.2684704892751998
site,1,7133.0,7133.0,0.39784662834711904,0.4187578858825179
site,2,7133.0,7133.0,0.6429777092387494,0.5226412449179868
site,3,7133.0,7133.0,0.7100000000000001,0.5963830085518015
site,4,7133.0,7133.0,0.7100000000000001,0.6709659329875228
site,5,7133.0,7133.0,0.7109294826861068,0.4540866395625964
site,6,7133.0,7133.0,0.762449179868218,0.4814243656245619
site,7,7133.0,7133.0,0.8061586990046263,0.5387634936211972
site,8,7133.0,7133.0,0.9193032384690872,0.7449880835553063
site,9,7133.0,7133.0,0.9927337726061966,0.7797560633674471
cox,0,7133.0,7133.0,0.5364517580820867,0.13766998457871862
cox,1,7133.0,7133.0,0.7107687411667651,0.19921491658488713
cox,2,7133.0,7133.0,0.7577206630406108,0.26244217019486893
cox,3,7133.0,7133.0,0.8271219381250532,0.4696481143978691
cox,4,7133.0,7133.0,0.8784523273783389,0.5578298051310809
cox,5,7133.0,7133.0,0.9195794177275949,0.6329735034347399
cox,6,7133.0,7133.0,0.9499999218509378,0.7557829805131081
cox,7,7133.0,7133.0,0.9728864291885075,0.7998037291462218
cox,8,7133.0,7133.0,0.9896903609095997,0.7863451563157157
cox,9,7133.0,7133.0,0.996878170838976,0.8745268470489275
