predictor,decile,n,weight,predicted,observed
bucket,0,5223.0,5230.23361512403,0.13037531338213906,0.19523186485071423
bucket,1,5223.0,5286.015458468498,0.295687120632446,0.40457298485053417
bucket,2,5222.0,5222.013969842239,0.3910248806515427,0.5074670453399914
bucket,3,5223.0,5259.447717757421,0.44641369257050423,0.5953761034512238
bucket,4,5223.0,5339.641893442356,0.49451676570191055,0.6756724242557324
bucket,5,5222.0,5222.0,0.5846345526248827,0.6801991574109536
bucket,6,5223.0,5225.115016851384,0.6120240013610395,0.7441045016755925
bucket,7,5222.0,5277.419732555754,0.6294598290271246,0.7827912749961525
bucket,8,5223.0,5341.59634397244,0.6429178117272464,0.7996454941736697
bucket,9,5223.0,5547.244599144698,0.6496233156088213,0.5838888801838852
dept,0,5223.0,5269.079203038186,0.11464537300840445,0.17125815589095117
dept,1,5223.0,5296.749144256362,0.25921561215595795,0.3543724721750665
dept,2,5222.0,5268.989945785335,0.3666079243729102,0.47038801942682723
dept,3,5223.0,5270.097275787722,0.4430180714654021,0.5991043691765128
dept,4,5223.0,5312.880975233579,0.5031877158402416,0.6335528256722287
dept,5,5222.0,5296.05229491426,0.5620406404394019,0.7257751796460371
dept,6,5223.0,5248.240288774321,0.6090435333300379,0.7174662477787273
dept,7,5222.0,5410.265286517933,0.6385235577879019,0.6809036437354095
dept,8,5223.0,5296.086279484509,0.6767938719920218,0.7777241034567429
dept,9,5223.0,5282.287653366615,0.7963143296490207,0.8400257493675932
course,0,5223.0,5304.844810981447,0.08569269165314372,0.18136364835056099
course,1,5223.0,5306.368732833763,0.2313574651841705,0.3401811518047099
course,2,5222.0,5276.775766584892,0.3390892158727125,0.46979033311493146
course,3,5223.0,5290.053571267542,0.4293862594070343,0.5491607819757844
course,4,5223.0,5312.6520117497685,0.5062926736526477,0.6118028065687986
course,5,5222.0,5285.6595170976,0.576935936784752,0.7046450200305746
course,6,5223.0,5325.862991267618,0.6291425274109864,0.7022883390862269
course,7,5222.0,5337.537773921231,0.6741879562040355,0.7059871650586464
course,8,5223.0,5273.504061243503,0.7910668391250372,0.7913993544894634
course,9,5223.0,5237.469110211459,0.9385733145207666,0.9207330574858973
site,0,5223.0,5327.571753337199,0.021107082669289574,0.5805500925671646
site,1,5223.0,5341.771827978846,0.31395593588651033,0.46246554254738687
site,2,5222.0,5312.253742631334,0.5615247631037447,0.5061224969502442
site,3,5223.0,5294.887436189862,0.7085120352916523,0.6275343284684629
site,4,5223.0,5285.270596176871,0.71,0.643588623058286
site,5,5222.0,5320.44719041657,0.71,0.5805876320367884
site,6,5223.0,5308.9844500926165,0.7645304800588885,0.5000811001730683
site,7,5222.0,5268.859053735012,0.8300683748367305,0.6338175915110033
site,8,5223.0,5248.409719972296,0.9371197639571244,0.6976591039620788
site,9,5223.0,5242.272576628215,0.9926712600888807,0.7457005860721875
cox,0,5223.0,5250.286080570577,0.059099626926432655,0.16486147825545247
cox,1,5223.0,5273.909304225553,0.11457986647402234,0.3402426561383058
cox,2,5222.0,5292.055308553623,0.1555985112558032,0.47091608527882656
cox,3,5223.0,5304.908304861594,0.19357621949133852,0.5547618483444217
cox,4,5223.0,5304.432932557708,0.23067925366849765,0.6347139627435905
cox,5,5222.0,5312.7749737689655,0.270617460135023,0.6761115320495544
cox,6,5223.0,5311.574429038792,0.3158318528969367,0.7273260856102874
cox,7,5222.0,5282.821221546649,0.3693528071598639,0.8030148731929435
cox,8,5223.0,5278.442601898407,0.4422155415740056,0.8068156045998645
cox,9,5223.0,5339.523190136953,0.5748537840123954,0.7889006047537633
