predictor,decile,n,weight,predicted,observed
bucket,0,18334.0,18334.0,0.23953836521064018,0.19248390967601178
bucket,1,18333.0,18333.0,0.41052785665898484,0.41711667484863363
bucket,2,18334.0,18334.0,0.4241764657184395,0.35671430129813464
bucket,3,18333.0,18333.0,0.5797188069913074,0.5722467681230567
bucket,4,18334.0,18334.0,0.6096936083079255,0.6039598560052362
bucket,5,18333.0,18333.0,0.6121568522518791,0.5462826596847216
bucket,6,18333.0,18333.0,0.6135505517170169,0.5936835215185731
bucket,7,18334.0,18334.0,0.6183623571938736,0.5658885131449766
bucket,8,18333.0,18333.0,0.6228201249554745,0.54524627720504
bucket,9,18334.0,18334.0,0.6261094841640887,0.5244354750736336
dept,0,18334.0,18334.0,0.20347396003433377,0.21751936293225702
dept,1,18333.0,18333.0,0.3391656065164898,0.34080619647629956
dept,2,18334.0,18334.0,0.4299964446835235,0.3668048434602378
dept,3,18333.0,18333.0,0.5008754354711714,0.47057219222167673
dept,4,18334.0,18334.0,0.5708118901289013,0.5630522526453583
dept,5,18333.0,18333.0,0.5948275275055254,0.5501554573719523
dept,6,18333.0,18333.0,0.6059468393637515,0.5153548246331752
dept,7,18334.0,18334.0,0.6379864787736568,0.5045271081051598
dept,8,18333.0,18333.0,0.6956579778344469,0.7247040855288278
dept,9,18334.0,18334.0,0.7816639854100418,0.6645576524490019
course,0,18334.0,18334.0,0.20347396003433377,0.21751936293225702
course,1,18333.0,18333.0,0.3391656065164898,0.34080619647629956
course,2,18334.0,18334.0,0.4299964446835235,0.3668048434602378
course,3,18333.0,18333.0,0.5008754354711714,0.47057219222167673
course,4,18334.0,18334.0,0.5708118901289013,0.5630522526453583
course,5,18333.0,18333.0,0.5948275275055254,0.5501554573719523
course,6,18333.0,18333.0,0.6059468393637515,0.5153548246331752
course,7,18334.0,18334.0,0.6379864787736568,0.5045271081051598
course,8,18333.0,18333.0,0.6956579778344469,0.7247040855288278
course,9,18334.0,18334.0,0.7816639854100418,0.6645576524490019
site,0,18334.0,18334.0,0.33664394022035565,0.19493836587760446
site,1,18333.0,18333.0,0.5300000000000001,0.3911525664102984
site,2,18334.0,18334.0,0.5455137994982001,0.38022253736227773
site,3,18333.0,18333.0,0.6618616702121856,0.5557191948944527
site,4,18334.0,18334.0,0.6799999999999999,0.5807243372968256
site,5,18333.0,18333.0,0.682842415316642,0.5860470190367097
site,6,18333.0,18333.0,0.69,0.5936835215185731
site,7,18334.0,18334.0,0.69,0.5658885131449766
site,8,18333.0,18333.0,0.694973544973545,0.54524627720504
site,9,18334.0,18334.0,0.7,0.5244354750736336
cox,0,18334.0,18334.0,0.15120845945075131,0.09463292243918403
cox,1,18333.0,18333.0,0.255223898691147,0.21534936998854526
cox,2,18334.0,18334.0,0.3334574903886657,0.3381695211083233
cox,3,18333.0,18333.0,0.4081427692127622,0.41046200840015273
cox,4,18334.0,18334.0,0.48331467927950095,0.5286353223519145
cox,5,18333.0,18333.0,0.5630760770320477,0.6176839578901434
cox,6,18333.0,18333.0,0.625278828028111,0.41057110129275076
cox,7,18334.0,18334.0,0.7013014921019743,0.7013199520017454
cox,8,18333.0,18333.0,0.793360763741573,0.7613592974417717
cox,9,18334.0,18334.0,0.9174553544148075,0.8398603687138649
