predictor,decile,n,weight,predicted,observed
bucket,0,15936.0,15936.0,0.18798009782263964,0.4860065261044177
bucket,1,15936.0,15936.0,0.4076127066612856,0.7397715863453815
bucket,2,15935.0,15935.0,0.4579055389346474,0.7013492312519611
bucket,3,15936.0,15936.0,0.4579055389346474,0.7048820281124498
dept,0,6375.0,6375.0,0.04762516583352499,0.46980392156862744
dept,1,6374.0,6374.0,0.142860423722608,0.4960778161280201
dept,2,6374.0,6374.0,0.22803344632349618,0.6129588955130216
dept,3,6374.0,6374.0,0.27874030034169384,0.5814245371823031
dept,4,6375.0,6375.0,0.36533249983497823,0.7419607843137255
dept,5,6374.0,6374.0,0.42207808787914775,0.7383118920614998
dept,6,6374.0,6374.0,0.43959559068463966,0.6881079385001568
dept,7,6374.0,6374.0,0.465672720289276,0.6336680263570756
dept,8,6374.0,6374.0,0.5559220319211621,0.792594916849702
dept,9,6375.0,6375.0,0.6638118733414828,0.8250980392156863
course,0,6375.0,6375.0,0.0015072009016469702,0.5027450980392156
course,1,6374.0,6374.0,0.054721305575334375,0.4736429243802949
course,2,6374.0,6374.0,0.14620095746068282,0.5351427674929401
course,3,6374.0,6374.0,0.23110573916905996,0.6338249137119548
course,4,6375.0,6375.0,0.2935763176253773,0.6437647058823529
course,5,6374.0,6374.0,0.3898469705123125,0.6692814559146533
course,6,6374.0,6374.0,0.4479671813350072,0.6512394101035457
course,7,6374.0,6374.0,0.5458813076342296,0.7684342641983056
course,8,6374.0,6374.0,0.6948781189352591,0.8307185440853467
course,9,6375.0,6375.0,0.8897989741703384,0.8712156862745098
site,0,6375.0,6375.0,0.0038839215686274505,0.5187450980392156
site,1,6374.0,6374.0,0.09345309068089114,0.44022591779102604
site,2,6374.0,6374.0,0.2280687166614371,0.5716975211797929
site,3,6374.0,6374.0,0.3637668653906495,0.6561029181048007
site,4,6375.0,6375.0,0.46052549019607847,0.7247058823529412
site,5,6374.0,6374.0,0.5371728898650768,0.57420771885786
site,6,6374.0,6374.0,0.5711986193912773,0.6874803890806401
site,7,6374.0,6374.0,0.7215531848133041,0.7488233448384061
site,8,6374.0,6374.0,0.8657922811421399,0.8053027925949169
site,9,6375.0,6375.0,0.9803639215686274,0.8527058823529412
cox,0,6375.0,6375.0,0.008276965143139473,0.524235294117647
cox,1,6374.0,6374.0,0.015819539311428744,0.5602447442736116
cox,2,6374.0,6374.0,0.02220437535145844,0.5851898336994038
cox,3,6374.0,6374.0,0.029041439224898564,0.6239410103545654
cox,4,6375.0,6375.0,0.03719952801031043,0.6729411764705883
cox,5,6374.0,6374.0,0.04745067817944965,0.6962660809538751
cox,6,6374.0,6374.0,0.05966927806342932,0.6984625039221839
cox,7,6374.0,6374.0,0.07837410900809663,0.739253216190775
cox,8,6374.0,6374.0,0.10680582692751715,0.7565108252274867
cox,9,6375.0,6375.0,0.246326654492182,0.7229803921568627
