predictor,decile,n,weight,predicted,observed
bucket,0,5223.0,5293.249073592528,0.06931891810676831,0.25309357176630576
bucket,1,5223.0,5223.555903348575,0.1537394981576701,0.4047074412912486
bucket,2,5222.0,5374.547677693441,0.19843233127204143,0.5697570308896565
bucket,3,5223.0,5223.0,0.2585403901306979,0.4964579743442466
bucket,4,5223.0,5223.0,0.3152880384949986,0.6586253111238751
bucket,5,5222.0,5222.0,0.3796243460144568,0.6801991574109536
bucket,6,5223.0,5225.115016851384,0.39673517221613785,0.7441045016755925
bucket,7,5222.0,5277.419732555754,0.4076631997602401,0.7827912749961525
bucket,8,5223.0,5352.243737037517,0.4164477011399066,0.7849721714188228
bucket,9,5223.0,5536.597206079621,0.42256494914054,0.5976587015205185
dept,0,5223.0,5287.555755663126,0.035637491209831694,0.33059755510941213
dept,1,5223.0,5311.570478155714,0.10567232225207095,0.3704103468334733
dept,2,5222.0,5268.30986703171,0.1627032217646373,0.5435566854234006
dept,3,5223.0,5321.034743463141,0.21628160911463118,0.5362895009777985
dept,4,5223.0,5273.566401513839,0.2611635861959377,0.6025785148726657
dept,5,5222.0,5249.072370086658,0.320577382890594,0.6796349227620891
dept,6,5223.0,5250.4038018293995,0.37027660348883407,0.693646952441019
dept,7,5222.0,5391.597744740019,0.3994432402158936,0.6860610576704024
dept,8,5223.0,5309.947790643849,0.45020272730491034,0.7261364487866873
dept,9,5223.0,5287.669394031362,0.5810134006395078,0.8048555821739939
course,0,5223.0,5327.026747405914,0.0031771960353369805,0.48973253806165307
course,1,5223.0,5311.507502161324,0.05086069565264904,0.3843272770658557
course,2,5222.0,5300.080078760173,0.11727063877922617,0.41133898539267844
course,3,5223.0,5272.786664661795,0.17682200709499876,0.5729815099381741
course,4,5223.0,5287.8669524683255,0.23593513641748853,0.5780845983397652
course,5,5222.0,5290.384719435706,0.29374665773549347,0.630700874871993
course,6,5223.0,5266.131146212484,0.370463548048111,0.6668639755132285
course,7,5222.0,5361.935530512947,0.43394272149171237,0.6341406627944011
course,8,5223.0,5275.248499019715,0.5617935245432258,0.7469357277097564
course,9,5223.0,5257.760506520439,0.8047664406404766,0.8621746895829379
site,0,5223.0,5352.066992159947,0.011888635294446021,0.48605880224246883
site,1,5223.0,5341.003359620353,0.1473252042656717,0.42845313716082717
site,2,5222.0,5305.9615591895545,0.29069942187495224,0.5378555199948688
site,3,5223.0,5282.318567096863,0.4203439188780196,0.5970602534495341
site,4,5223.0,5279.549792828804,0.5075082327984133,0.6225918655978876
site,5,5222.0,5323.998031273082,0.5506584383832116,0.5904831044559543
site,6,5223.0,5302.292740389456,0.609304082633057,0.5711629014927645
site,7,5222.0,5265.350993940956,0.7659822166149214,0.6790179178689763
site,8,5223.0,5254.126653430909,0.8898666480439675,0.7034469523791765
site,9,5223.0,5244.059657228896,0.9873829878330702,0.763230353837614
cox,0,5223.0,5272.767884615117,0.004220346217931447,0.30678093455720273
cox,1,5223.0,5303.15730892496,0.00877525516048158,0.374245618670929
cox,2,5222.0,5299.26145457159,0.012586154457054279,0.46845802908115924
cox,3,5223.0,5306.733148757739,0.01658452521366191,0.5374052192274021
cox,4,5223.0,5311.548281382047,0.02128599809300128,0.5778590920274765
cox,5,5222.0,5289.575564607035,0.026958337417464555,0.6690640364523928
cox,6,5223.0,5285.615660635569,0.03441355917538587,0.7123301382105613
cox,7,5222.0,5275.517931716865,0.044833308334260434,0.7617654515359659
cox,8,5223.0,5272.336844379105,0.061830773856895616,0.8009122117249344
cox,9,5223.0,5334.214267568795,0.16380911341850443,0.7646668161713479
